Code;Location;Registered;Envelopes;Valid;Občanská demokratická strana;Řád národa - Vlastenecká unie;CESTA ODPOVĚDNÉ SPOLEČNOSTI;Česká str.sociálně demokrat.;Radostné Česko;STAROSTOVÉ A NEZÁVISLÍ;Komunistická str.Čech a Moravy;Strana zelených;ROZUMNÍ-stop migraci,diktát.EU;Strana svobodných občanů;Blok proti islam.-Obran.domova;Občanská demokratická aliance;Česká pirátská strana;Referendum o Evropské unii;TOP 09;ANO 2011;Dobrá volba 2016;SPR-Republ.str.Čsl. M.Sládka;Křesť.demokr.unie-Čs.str.lid.;REALISTÉ;SPORTOVCI;Dělnic.str.sociální spravedl.;Svob.a př.dem.-T.Okamura (SPD);Strana Práv Občanů
547981;Albrechtice;368;214;214;9;2;0;11;0;8;25;5;0;3;0;0;16;0;6;92;0;0;2;1;1;0;32;1
573426;Anenská Studánka;150;70;69;5;5;0;1;0;2;11;0;0;0;0;1;3;1;0;15;0;0;10;0;0;0;14;1
553760;Běstovice;353;221;218;24;3;0;12;0;17;7;2;1;7;0;1;27;0;7;79;0;0;7;0;0;0;24;0
548006;Bošín;81;43;43;5;0;0;2;0;0;1;2;0;3;0;0;4;0;1;16;0;0;4;0;0;0;5;0
579947;Brandýs nad Orlicí;1 135;767;760;77;0;0;77;0;42;68;8;21;9;0;1;77;0;16;197;1;1;53;5;1;3;98;5
579963;Bučina;194;138;138;11;0;1;9;0;16;3;1;3;0;0;0;11;2;9;39;0;0;16;0;1;2;11;3
579971;Bystřec;904;626;625;67;1;1;32;2;24;51;13;9;13;1;0;47;1;18;169;1;1;85;0;0;0;84;5
579980;Cotkytle;318;144;143;4;0;0;8;0;10;12;2;2;0;0;0;7;0;4;58;0;0;12;0;0;1;23;0
579998;Čenkovice;160;102;101;12;0;0;6;0;7;3;1;1;0;0;1;18;0;1;32;1;0;11;0;0;0;7;0
580015;Červená Voda;2 443;1 225;1 216;142;3;3;80;1;39;159;10;8;10;0;1;91;3;72;323;1;3;74;5;0;7;175;6
580023;Česká Rybná;307;201;198;10;0;0;10;0;2;15;4;2;6;0;0;28;0;4;48;1;1;18;1;1;1;44;2
580031;Česká Třebová;12 662;7 833;7 787;750;38;1;673;11;198;420;122;81;135;4;19;878;8;456;2 566;5;11;412;48;36;12;878;25
580040;České Heřmanice;452;297;293;26;1;0;21;0;68;17;3;1;4;0;0;27;0;10;71;0;0;30;0;1;0;13;0
580058;České Libchavy;477;311;309;31;0;1;20;0;22;17;1;3;2;1;0;26;0;17;96;0;0;14;6;2;1;46;3
580066;České Petrovice;136;84;79;9;0;0;5;0;5;7;0;1;0;0;1;6;0;2;23;0;0;14;1;0;2;3;0
580074;Damníkov;543;322;315;14;3;0;28;0;15;49;0;5;2;0;0;25;0;5;110;0;2;16;2;0;0;38;1
548014;Dlouhá Třebová;1 032;678;669;47;1;0;45;0;33;36;4;7;14;1;0;67;1;33;221;0;1;38;3;1;4;111;1
548031;Dlouhoňovice;637;398;395;46;0;1;18;3;34;28;6;1;3;1;0;48;0;11;120;2;1;30;6;1;2;32;1
580091;Dobříkov;385;267;265;19;2;0;19;0;15;10;6;1;4;0;1;24;1;12;84;1;0;18;2;0;1;39;6
580112;Dolní Čermná;1 056;724;718;69;1;0;43;1;114;38;7;7;11;1;1;53;1;47;154;0;0;107;3;0;2;55;3
580121;Dolní Dobrouč;2 063;1 379;1 372;106;2;1;70;3;74;60;16;7;25;2;4;163;0;52;339;0;0;254;5;2;8;175;4
580163;Dolní Morava;252;204;204;32;0;0;5;0;8;12;0;1;7;0;0;27;1;14;52;0;1;12;0;0;1;30;1
580210;Džbánov;276;181;180;14;4;0;11;0;8;7;3;3;1;0;0;21;0;10;59;0;0;10;2;0;0;24;3
580228;Hejnice;178;127;125;14;0;0;11;1;2;5;6;2;0;0;1;11;0;4;46;0;0;8;0;0;0;14;0
548049;Helvíkovice;378;285;282;33;0;1;10;0;14;22;1;4;5;0;0;42;0;12;70;0;3;22;1;1;1;39;1
580261;Hnátnice;679;453;451;49;0;2;30;1;24;30;7;3;10;0;0;64;0;7;128;0;0;44;2;1;0;47;2
580279;Horní Čermná;826;585;581;47;1;1;19;2;52;24;13;4;6;0;4;75;0;20;173;0;1;59;5;3;2;67;3
580295;Horní Heřmanice;398;243;240;15;0;0;31;0;19;14;10;4;1;0;0;10;0;10;70;0;0;32;0;0;0;24;0
580333;Horní Třešňovec;503;349;347;54;0;0;8;0;11;13;6;9;7;1;0;41;0;12;114;0;0;30;1;1;2;36;1
547972;Hrádek;82;44;43;3;0;0;1;0;2;2;1;0;0;0;0;5;2;0;14;0;0;2;0;0;1;10;0
580341;Hrušová;293;201;201;20;0;1;14;0;10;25;1;0;3;0;0;20;0;7;67;0;0;4;0;1;2;26;0
580350;Choceň;6 933;4 483;4 458;603;7;8;334;13;175;234;58;26;51;4;3;615;5;166;1 334;2;7;311;17;4;11;449;21
580376;Jablonné nad Orlicí;2 317;1 558;1 550;181;1;1;102;4;128;98;18;10;20;2;2;173;0;76;430;1;1;113;11;3;2;170;3
580392;Jamné nad Orlicí;544;377;373;40;1;1;16;0;23;29;3;1;2;0;0;46;1;10;110;0;0;41;2;3;3;41;0
580406;Javorník;213;131;131;14;0;0;12;1;13;7;6;1;0;0;1;12;0;1;48;0;0;5;0;0;0;10;0
580414;Jehnědí;260;188;188;14;1;0;9;0;11;13;3;3;1;0;0;21;0;6;65;0;0;11;0;2;0;27;1
580422;Kameničná;258;177;175;24;0;2;12;1;10;6;1;0;4;0;0;23;0;3;61;0;3;7;0;1;0;17;0
580431;Klášterec nad Orlicí;708;453;446;47;1;1;19;1;30;33;3;6;8;0;0;41;0;12;114;0;1;45;3;1;1;77;2
580465;Koldín;293;204;204;36;1;0;9;1;12;16;1;4;2;0;0;33;0;6;57;1;0;8;0;0;2;15;0
574449;Kosořín;136;88;88;13;0;0;12;0;6;7;0;0;3;0;0;13;0;2;20;0;1;4;0;0;0;7;0
580481;Králíky;3 480;2 048;2 039;178;1;4;118;2;89;221;38;18;18;0;1;147;1;68;693;2;3;95;20;6;2;300;14
580490;Krasíkov;250;144;144;10;0;0;12;0;3;11;1;2;2;0;0;9;0;2;54;0;0;9;1;0;0;28;0
580503;Kunvald;806;537;534;57;0;0;45;1;39;46;11;8;8;0;2;87;0;37;83;0;0;62;0;3;1;40;4
580511;Lanškroun;7 751;4 826;4 797;616;7;2;352;6;150;293;122;54;84;5;3;448;5;208;1 604;11;7;245;21;9;10;517;18
571695;Leština;251;150;148;9;0;0;14;0;6;11;1;1;2;0;1;10;0;2;39;0;0;21;0;0;5;25;1
580538;Letohrad;4 974;3 508;3 489;346;10;2;191;2;228;187;36;30;44;3;5;476;0;206;924;4;2;405;13;9;8;346;12
580562;Libecina;138;90;89;6;0;0;3;0;2;19;0;1;0;0;0;5;0;0;31;1;1;13;0;0;0;3;4
580147;Libchavy;1 322;917;913;141;2;0;51;0;46;84;9;7;9;0;0;114;1;30;254;0;1;58;4;2;4;95;1
580571;Lichkov;410;234;232;14;1;0;15;0;8;28;2;5;3;0;0;14;0;4;78;0;0;6;0;0;1;51;2
580589;Líšnice;600;414;406;65;0;0;21;2;37;19;2;1;3;0;0;44;2;19;105;0;0;41;0;3;0;42;0
580619;Lubník;259;167;165;9;0;0;12;0;3;21;7;0;6;0;0;8;0;3;59;0;0;12;0;0;2;23;0
580627;Lukavice;898;611;604;66;1;0;44;1;33;27;5;3;8;1;2;85;0;30;171;2;1;69;5;0;1;47;2
580635;Luková;593;347;346;8;3;0;23;1;12;33;3;12;5;0;1;32;1;6;117;0;4;19;0;3;2;61;0
580643;Mistrovice;456;313;313;27;0;1;15;1;25;14;7;0;7;0;0;26;0;7;76;1;1;59;1;0;0;45;0
580651;Mladkov;442;289;288;11;1;0;19;1;24;28;3;3;4;0;0;33;0;4;79;0;0;19;2;0;2;53;2
580660;Mostek;191;139;139;6;0;0;11;1;8;7;1;0;2;0;0;10;0;2;43;0;2;17;0;1;0;27;1
580678;Nasavrky;108;65;65;4;0;0;5;0;1;4;0;1;0;0;0;9;0;6;27;0;1;5;0;0;1;1;0
580686;Nekoř;747;521;520;32;1;0;30;1;21;16;8;11;4;1;8;59;1;18;138;0;0;115;0;1;1;50;4
571920;Nové Hrady;260;160;159;18;0;0;5;0;15;8;2;4;5;1;0;26;0;4;40;0;0;14;0;1;0;16;0
580716;Orlické Podhůří;529;362;359;40;1;0;21;0;29;25;0;6;0;0;1;28;0;21;76;0;3;49;4;1;1;49;4
580724;Orličky;249;153;151;9;0;0;12;3;10;13;1;0;0;0;0;21;0;6;43;0;0;9;0;0;0;24;0
580732;Ostrov;520;250;247;10;0;0;16;0;21;12;2;1;4;0;0;27;0;3;86;0;4;22;1;0;1;36;1
580741;Oucmanice;180;124;123;6;0;0;6;0;10;3;3;2;0;1;0;16;1;17;36;0;0;10;0;0;0;12;0
580759;Pastviny;284;194;194;21;0;0;5;0;27;13;1;5;4;0;0;13;0;4;42;0;0;44;1;0;0;14;0
580767;Petrovice;202;151;150;1;0;0;6;0;16;5;2;2;1;0;0;10;0;6;55;0;0;33;2;0;0;10;1
580775;Písečná;419;297;295;25;0;0;6;0;44;6;2;2;9;1;1;52;0;19;79;0;1;16;1;0;1;30;0
580783;Plchovice;59;40;39;0;0;0;3;0;0;3;0;0;4;0;0;10;0;2;11;0;0;2;0;0;0;4;0
580805;Podlesí;223;162;161;15;1;0;3;0;13;0;2;2;6;0;1;23;0;14;42;0;0;20;0;2;0;17;0
580821;Přívrat;283;200;196;17;3;0;11;0;18;8;3;0;3;0;0;21;0;1;69;0;0;18;0;0;1;23;0
580830;Pustina;61;42;42;2;0;0;2;0;4;2;1;0;0;0;0;6;0;1;9;0;0;6;1;1;0;6;1
575542;Radhošť;140;109;109;3;0;1;6;0;8;14;1;2;0;0;0;13;0;0;27;0;0;17;0;0;0;15;2
580848;Rudoltice;1 381;673;670;48;1;0;46;1;27;63;8;8;9;1;2;77;2;20;237;0;5;23;0;5;0;85;2
547905;Rybník;637;395;388;25;6;0;37;0;5;27;9;7;7;0;3;50;0;8;138;0;0;19;4;3;1;38;1
572209;Řepníky;313;187;185;14;0;0;16;1;15;6;4;4;3;1;0;22;0;5;50;0;0;17;0;0;4;23;0
580872;Řetová;561;378;377;16;1;0;29;0;23;20;4;5;10;0;1;31;3;9;126;0;1;58;1;2;0;36;1
580881;Řetůvka;227;162;160;16;1;0;16;0;6;7;0;1;1;0;0;22;0;5;44;0;0;20;1;0;0;19;1
574392;Sázava;457;280;277;21;1;1;6;0;11;10;5;1;2;0;0;21;0;15;115;0;1;18;0;5;0;44;0
580902;Seč;129;98;97;11;0;0;12;0;6;2;0;1;0;0;0;9;0;6;34;0;1;6;2;0;3;3;1
555240;Semanín;466;271;270;18;4;0;25;0;7;27;2;10;2;0;0;31;1;11;90;2;0;6;1;5;1;27;0
580929;Skořenice;332;194;194;11;0;1;7;0;14;22;1;3;1;1;0;17;0;17;57;0;0;10;0;1;1;29;1
580945;Slatina;338;243;242;16;0;0;7;1;14;36;2;2;3;0;0;34;0;8;72;0;1;14;2;1;3;26;0
547964;Sobkovice;202;146;145;10;0;1;2;0;8;16;1;1;2;0;0;11;0;5;38;0;0;26;2;0;0;21;1
580961;Sopotnice;723;438;432;30;1;1;44;1;18;36;4;2;4;0;1;46;0;10;137;0;0;26;1;4;3;62;1
580970;Sruby;466;293;291;46;0;0;21;0;21;20;3;3;8;0;0;33;0;7;73;0;0;20;3;1;4;27;1
572306;Stradouň;164;87;87;14;0;0;1;0;8;15;1;0;0;0;0;3;0;0;27;0;0;1;1;0;0;16;0
580988;Strážná;83;55;55;5;0;0;1;0;0;13;1;0;0;0;0;5;0;1;23;0;0;3;0;0;0;3;0
580996;Studené;149;105;105;11;0;0;6;0;12;3;1;0;1;0;0;12;0;3;19;0;0;17;1;0;0;19;0
581003;Sudislav nad Orlicí;105;62;62;9;0;0;5;0;2;4;3;0;2;0;0;16;0;4;13;0;0;1;0;0;2;0;1
581011;Sudslava;152;109;107;7;0;0;6;0;11;1;1;2;4;0;0;21;2;0;23;0;1;7;1;1;0;18;1
580708;Svatý Jiří;246;183;183;10;0;2;13;0;22;8;2;0;0;0;0;16;0;9;69;0;0;10;0;2;0;20;0
581038;Šedivec;159;128;126;4;0;0;10;0;6;11;1;2;4;0;1;12;0;5;18;1;0;37;0;0;1;13;0
581046;Tatenice;695;404;398;20;0;0;30;0;12;41;6;6;2;1;0;27;1;16;128;0;0;43;7;0;0;58;0
581054;Těchonín;477;339;339;31;0;0;26;2;32;35;3;2;1;0;1;31;0;7;102;0;0;9;2;1;1;53;0
581062;Tisová;462;333;330;18;1;0;13;0;45;20;0;2;7;0;0;33;0;13;91;0;0;43;1;1;3;36;3
547921;Trpík;61;38;37;1;4;0;4;0;2;1;2;0;0;0;0;0;0;3;12;0;0;2;0;0;0;6;0
581071;Třebovice;630;376;375;25;10;0;24;0;14;39;1;3;14;1;1;24;0;13;137;0;0;16;1;0;4;47;1
575861;Týnišťko;134;80;79;7;0;1;4;0;6;6;0;1;0;0;0;2;1;3;22;0;1;0;0;0;1;16;8
581089;Újezd u Chocně;273;133;133;15;0;0;11;0;3;11;2;2;3;0;0;19;0;9;31;0;0;4;0;0;0;22;1
579891;Ústí nad Orlicí;11 357;7 098;7 055;841;15;6;578;1;233;516;103;57;132;3;7;845;7;389;2 091;1;7;465;37;4;44;660;13
581101;Velká Skrovnice;230;139;139;11;0;0;14;1;9;14;2;1;3;0;0;14;0;13;26;0;1;18;0;1;1;10;0
581119;Verměřovice;569;418;413;32;2;0;18;1;21;26;4;3;6;1;3;49;0;13;117;1;0;69;2;1;1;43;0
572489;Vinary;104;70;68;4;0;0;6;1;12;8;0;0;0;0;0;1;0;0;26;0;0;3;0;0;2;5;0
581143;Voděrady;286;213;211;17;2;0;13;1;31;14;2;3;2;0;0;23;0;7;47;0;1;13;0;0;2;32;1
581151;Vraclav;596;400;397;37;2;0;17;0;111;26;8;4;0;0;1;37;1;13;81;0;0;5;1;2;4;38;9
548022;Vračovice-Orlov;152;122;122;22;3;4;1;0;17;5;2;0;2;0;0;9;0;3;24;0;1;19;1;0;0;9;0
581178;Výprachtice;773;530;526;18;0;0;94;1;13;32;7;7;4;1;0;45;0;17;167;0;1;41;2;2;1;71;2
581186;Vysoké Mýto;9 691;6 043;6 001;713;9;29;408;3;306;380;104;65;94;3;8;710;8;267;1 691;3;12;353;23;8;40;579;185
581194;Zádolí;75;52;52;3;0;0;2;0;1;7;0;1;1;0;0;8;0;1;14;0;0;7;0;0;0;7;0
581208;Záchlumí;570;382;377;26;0;0;27;1;11;17;8;9;10;1;1;48;0;9;114;0;0;25;2;1;0;67;0
581216;Zálší;194;126;124;17;0;0;5;1;10;10;1;0;2;0;0;15;2;3;33;0;0;8;0;0;1;15;1
581224;Zámrsk;600;394;393;29;0;2;26;0;44;42;1;2;10;0;0;41;0;9;120;0;2;5;3;2;3;36;16
581232;Zářecká Lhota;159;121;121;10;0;7;5;0;14;8;0;1;1;0;0;10;0;5;40;0;4;11;0;0;0;5;0
581259;Žamberk;4 902;3 126;3 105;420;1;4;207;2;156;156;40;22;43;2;8;387;1;174;840;2;6;205;17;8;4;396;4
581267;Žampach;244;122;120;13;0;2;5;0;2;6;4;3;2;0;0;20;0;1;42;0;0;4;0;0;2;12;2
581275;Žichlínek;768;484;479;43;5;0;21;0;20;41;6;8;16;0;0;56;0;12;155;1;0;37;2;0;1;55;0
